-79.71,-122.49,-108.14
-54.11,-133.43,-103.45
-49.96,-136.75,-101.45
-48.69,-136.94,-98.38
-50.82,-134.55,-97.34
-56.00,-131.27,-99.58
-65.09,-126.87,-104.27
-137.48,-121.38,-124.86
170.99,-123.05,-132.26
171.18,-122.88,-137.47
-167.44,-120.34,-138.92
-124.26,-116.25,-134.00
-90.36,-114.99,-119.19
-69.15,-119.22,-102.85
-53.65,-129.03,-95.83
-42.83,-139.36,-97.11
-35.79,-146.41,-100.58
-33.27,-148.84,-104.16
-35.44,-147.01,-105.70
-42.27,-141.26,-101.89
-52.55,-131.70,-97.10
-68.67,-122.92,-100.16
-118.70,-118.78,-111.34
-174.86,-119.17,-122.68
175.51,-121.89,-128.76
177.12,-123.31,-131.93
-162.15,-122.52,-134.18
-131.68,-119.89,-133.37
-116.47,-116.54,-125.92
-97.89,-114.32,-110.88
-61.99,-118.97,-90.93
-44.80,-48.61,-84.65
-35.31,-37.91,-85.17
-30.64,-32.73,-85.49
-32.46,-32.57,-89.70
-36.96,-144.53,-95.00
-45.99,-134.60,-91.19
-62.55,-120.89,-92.82
-124.57,-116.34,-109.25
-133.04,-117.36,-121.42
-123.96,-119.74,-127.72
-115.07,-120.36,-129.44
-110.24,-119.82,-128.87
-96.74,-117.91,-125.01
-60.16,-124.79,-106.33
-48.60,-133.70,-106.87
-42.39,-139.77,-106.57
-41.53,-141.51,-102.28
-43.16,-139.04,-95.02
-45.43,-134.98,-90.67
-49.43,-131.85,-91.89
-55.82,-128.48,-96.13
-72.84,-122.48,-109.92
-83.56,-121.11,-117.03
-93.61,-120.26,-122.22
-95.12,-119.52,-123.67
-89.86,-119.63,-120.97
-77.39,-121.74,-111.46
-76.23,-122.47,-110.70
-76.21,-122.96,-110.69
