-79.73,-112.84,-117.97
-73.19,-118.22,-112.68
-63.82,-126.51,-107.42
-53.44,-134.90,-102.41
-42.41,-144.70,-100.02
-29.73,-153.50,-93.99
-19.65,-163.23,-93.35
-10.42,-174.50,-95.26
-2.60,174.88,-97.59
0.41,166.61,-102.01
0.12,161.73,-105.97
-2.44,160.56,-108.76
-12.92,160.38,-117.31
-22.53,161.27,-126.31
-27.80,164.68,-128.74
-29.99,169.86,-125.29
-36.36,175.09,-129.35
-40.96,176.63,-133.48
-41.33,174.37,-132.22
-41.44,168.79,-132.90
-40.52,161.79,-130.35
-41.82,156.59,-128.93
-42.41,155.25,-125.59
-44.63,155.57,-125.11
