-132.20,-107.55,-117.40
-124.45,-109.88,-107.32
-82.55,-115.43,-93.51
-30.25,-54.19,-82.17
-13.69,-41.11,-73.23
-4.02,-25.42,-70.51
6.94,-8.64,-70.06
19.27,6.91,-69.04
33.96,22.05,-63.14
47.32,36.30,-48.84
56.41,51.37,-34.23
64.63,66.41,-25.91
71.74,75.93,-21.56
76.68,81.38,-27.78
84.53,96.52,-96.37
83.42,100.31,-103.20
71.32,74.69,-80.38
53.55,64.47,-61.90
38.64,48.43,-45.47
25.11,23.42,-38.02
15.27,-9.48,-34.85
14.31,-53.20,-28.21
45.53,-66.76,2.87
59.65,-63.55,26.86
72.72,-71.82,31.28
85.57,-78.30,-20.50
97.00,-76.19,-67.67
104.82,-73.95,-86.13
104.20,-104.03,-90.64
102.87,-102.07,-93.73
102.66,-100.79,-100.10
125.90,-105.63,-141.17
132.72,-107.01,-137.17
125.68,-103.81,-135.05
127.71,-104.00,-135.64
130.68,-104.30,-135.56
132.55,-104.52,-134.86
