1653,132,2570
2058,1298,4603
1058,2651,7054
-1005,3983,8201
-3044,3510,5601
-4371,1603,3175
-4416,-25,1102
-4898,-678,-1089
-5736,-431,-3568
-4352,-1603,-6890
-2585,-2685,-8142
-4,-2407,-6854
1604,-1819,-4281
2727,-582,-2578
3938,670,-1113
3962,423,2484
3865,380,2048
5318,-526,1238
8701,-1515,2908
13826,-3687,745
10231,-4479,-10289
-3083,-2562,-14756
-2877,-694,-21334
-19424,3375,-11218
-17709,1263,-119
-3861,5247,-2052
2671,5647,2065
658,4464,6154
302,2217,6997
282,1246,6687
756,-111,4506
873,-372,2295
-153,1024,-427
1297,19,1058
1012,-52,752
1126,100,1881
351,-638,1281
