744,103,946
2310,422,3432
1750,1698,6988
622,3068,9330
-3449,5991,8759
-7118,4009,3818
-8073,468,-509
-8374,-1763,-4623
-6553,-3410,-9973
1741,-4206,-12677
7465,-3456,-5820
5412,-2300,19
7588,-2468,689
7811,-375,2467
12231,1045,2269
14844,-2973,-5242
10672,-8825,-14074
-4461,-5603,-20917
-14598,1759,-15244
-18180,1277,-10674
-16710,-543,1177
-8488,5988,2511
-318,9487,5720
1524,5452,6358
1941,2228,5245
2716,1813,5175
3422,406,5312
3646,-695,4700
1917,121,2479
389,1791,-118
-236,1866,-223
1094,-1283,1121
1219,-615,716
564,73,1216
-33,-794,1172
-508,-1088,264
-362,-815,-186
